timestamp,temperature_c,humidity_pct,soil_moisture_pct,light_lux,co2_ppm,irrigation_on,yield_kg
2026-06-01 08:00:00,29.5,64.9,46.4,13342.0,,1,3.33
2026-06-01 09:00:00,27.6,69.9,47.2,13879.6,432.0,1,2.55
2026-06-01 10:00:00,29.9,70.3,49.3,16494.6,450.2,1,3.21
2026-06-01 11:00:00,32.6,68.0,49.2,16220.7,451.4,0,3.58
2026-06-01 12:00:00,27.3,71.2,39.5,14958.2,436.5,1,2.01
2026-06-01 13:00:00,27.3,74.0,41.2,15234.7,468.7,0,2.68
2026-06-01 14:00:00,32.7,81.4,47.1,17555.3,418.0,0,3.23
2026-06-01 15:00:00,30.3,72.9,47.1,13816.9,445.7,1,2.92
2026-06-01 16:00:00,,73.3,47.1,16094.2,453.6,0,3.15
2026-06-01 17:00:00,29.6,71.6,60.4,14595.6,465.4,0,2.76
2026-06-01 18:00:00,26.6,62.4,47.3,14564.6,471.3,0,3.03
2026-06-01 19:00:00,26.6,71.9,49.5,17197.6,416.3,0,2.94
2026-06-01 20:00:00,28.7,72.3,48.8,16650.8,404.0,1,3.47
2026-06-01 21:00:00,22.3,84.3,47.6,16627.0,488.3,0,3.1
2026-06-01 22:00:00,22.8,,43.7,17611.0,460.0,1,3.14
2026-06-01 23:00:00,26.3,73.5,48.0,15042.0,427.5,1,2.84
2026-06-02 00:00:00,25.0,71.8,41.9,16363.9,496.5,0,2.8
2026-06-02 01:00:00,28.9,66.2,44.1,14379.5,453.5,1,2.83
2026-06-02 02:00:00,25.3,77.7,43.1,15648.3,485.4,1,3.16
2026-06-02 03:00:00,23.8,75.8,45.3,14739.7,,1,2.83
2026-06-02 04:00:00,32.4,76.0,54.3,15194.0,511.8,0,3.12
2026-06-02 05:00:00,27.3,67.5,37.5,16190.3,502.7,1,3.83
2026-06-02 06:00:00,28.2,79.0,47.7,13363.6,442.5,1,3.35
2026-06-02 07:00:00,23.7,65.0,,19184.8,479.1,1,2.87
2026-06-02 08:00:00,26.4,74.9,43.1,12988.0,469.4,0,3.48
2026-06-02 09:00:00,28.3,83.0,49.4,12571.6,491.1,1,2.84
2026-06-02 10:00:00,24.5,67.0,45.3,17316.2,421.1,0,2.18
2026-06-02 11:00:00,29.1,69.2,40.7,,470.6,0,2.6
2026-06-02 12:00:00,26.2,72.5,42.1,16248.2,481.8,0,2.25
2026-06-02 13:00:00,27.1,69.5,47.7,16256.7,397.2,0,2.86
2026-06-02 14:00:00,,64.2,,14975.5,414.5,0,3.01
2026-06-02 15:00:00,33.6,,45.9,13205.5,388.8,0,3.67
2026-06-02 16:00:00,28.0,66.7,45.2,15151.6,441.9,1,3.13
2026-06-02 17:00:00,24.8,74.4,42.4,13645.7,471.5,0,2.91
2026-06-02 18:00:00,30.5,67.4,53.6,16950.2,495.1,1,3.33
2026-06-02 19:00:00,24.3,79.7,47.5,14705.9,452.2,1,2.12
2026-06-02 20:00:00,28.6,68.1,36.9,13349.0,498.9,0,3.09
2026-06-02 21:00:00,22.1,70.4,45.7,14357.2,408.6,1,3.31
2026-06-02 22:00:00,24.0,76.1,42.4,15825.9,398.9,1,2.41
2026-06-02 23:00:00,28.6,65.8,48.4,13872.6,448.3,1,3.46
2026-06-03 00:00:00,30.2,73.1,41.8,,461.5,1,3.14
2026-06-03 01:00:00,28.5,78.5,44.5,15487.4,449.0,0,2.83
2026-06-03 02:00:00,27.7,64.0,47.0,15489.9,388.0,1,3.25
2026-06-03 03:00:00,27.1,72.9,48.5,13986.1,447.3,0,3.91
2026-06-03 04:00:00,23.6,73.3,40.2,14057.9,410.9,1,3.07
2026-06-03 05:00:00,25.8,75.9,43.7,15464.1,470.1,1,3.1
2026-06-03 06:00:00,26.6,65.8,43.1,12103.8,461.0,0,2.82
2026-06-03 07:00:00,,65.4,42.4,12185.1,421.8,1,2.66
2026-06-03 08:00:00,29.0,74.6,52.1,13563.1,434.6,1,3.33
2026-06-03 09:00:00,22.7,73.5,,14573.1,418.2,1,2.66
2026-06-03 10:00:00,29.0,73.3,40.0,15621.8,448.1,0,3.03
2026-06-03 11:00:00,26.8,,48.7,17950.7,478.7,1,2.81
2026-06-03 12:00:00,26.0,68.6,53.5,16715.3,420.4,0,3.19
2026-06-03 13:00:00,29.8,73.2,49.1,14680.1,465.1,1,3.13
2026-06-03 14:00:00,,73.5,38.9,14962.0,434.1,0,3.42
2026-06-03 15:00:00,30.8,68.4,43.1,12994.9,426.2,0,2.8
2026-06-03 16:00:00,25.5,81.3,50.1,14963.0,446.8,1,2.89
2026-06-03 17:00:00,27.1,74.4,42.2,14422.7,418.9,1,2.61
2026-06-03 18:00:00,29.0,66.0,46.8,15645.4,433.4,0,2.82
2026-06-03 19:00:00,30.9,75.3,48.1,13345.5,414.1,0,3.15
2026-06-03 20:00:00,26.6,,41.3,,508.9,1,3.3
2026-06-03 21:00:00,27.4,75.9,44.8,18065.5,451.1,0,2.63
2026-06-03 22:00:00,24.7,77.8,32.0,14782.5,,1,3.35
2026-06-03 23:00:00,24.4,67.9,40.9,15803.4,,1,3.54
2026-06-04 00:00:00,30.4,76.8,44.0,16380.3,446.6,1,3.17
2026-06-04 01:00:00,32.1,74.1,40.0,14197.6,443.4,1,3.75
2026-06-04 02:00:00,27.8,76.1,51.5,15448.2,468.4,0,2.69
2026-06-04 03:00:00,31.0,81.5,39.3,15025.2,472.7,1,2.5
2026-06-04 04:00:00,29.1,70.8,43.2,15195.4,434.1,0,2.29
2026-06-04 05:00:00,26.1,68.2,45.5,,432.7,1,3.6
2026-06-04 06:00:00,29.1,67.6,50.8,15049.0,441.7,0,3.26
2026-06-04 07:00:00,32.6,67.9,39.3,15996.0,380.9,1,2.98
2026-06-04 08:00:00,27.9,71.6,49.7,17902.3,404.5,0,3.11
2026-06-04 09:00:00,32.7,73.7,45.0,16918.5,491.0,0,2.55
2026-06-04 10:00:00,20.1,73.4,,19306.4,499.3,1,3.98
2026-06-04 11:00:00,30.5,76.1,46.8,13465.3,442.5,1,3.05
2026-06-04 12:00:00,28.3,72.1,45.8,16744.6,467.3,1,3.04
2026-06-04 13:00:00,27.1,79.3,42.6,15366.7,459.3,1,3.29
2026-06-04 14:00:00,28.3,70.7,45.3,19379.6,542.4,0,3.19
2026-06-04 15:00:00,22.0,85.6,43.5,13383.4,483.6,1,3.09
2026-06-04 16:00:00,27.3,,45.5,13320.6,446.2,0,2.68
2026-06-04 17:00:00,29.1,67.7,47.6,13801.2,421.3,0,3.19
2026-06-04 18:00:00,32.4,66.6,51.3,10752.2,401.8,1,3.75
2026-06-04 19:00:00,26.4,74.4,40.0,13948.5,456.1,0,3.54
2026-06-04 20:00:00,25.6,70.9,53.5,13481.7,427.3,0,3.64
2026-06-04 21:00:00,26.5,75.6,37.2,15300.8,407.3,0,2.8
2026-06-04 22:00:00,30.7,74.4,44.4,15683.5,430.6,0,2.6
2026-06-04 23:00:00,29.0,71.6,47.4,18752.3,,1,2.95
2026-06-05 00:00:00,26.4,67.8,46.1,16900.8,500.6,1,3.02
2026-06-05 01:00:00,29.5,64.4,42.5,13846.2,476.4,1,3.44
2026-06-05 02:00:00,28.3,69.8,44.2,13203.2,449.8,1,2.32
2026-06-05 03:00:00,30.9,76.3,43.0,15983.8,494.4,0,3.61
2026-06-05 04:00:00,25.9,73.1,42.6,12359.5,452.3,0,2.94
2026-06-05 05:00:00,27.0,65.8,48.4,18662.9,424.2,1,2.83
2026-06-05 06:00:00,26.8,72.9,46.4,,495.7,1,2.6
2026-06-05 07:00:00,23.6,73.9,42.2,14061.6,466.2,1,2.34
2026-06-05 08:00:00,28.9,67.6,48.6,11573.7,418.9,0,3.33
2026-06-05 09:00:00,,72.8,46.2,17707.7,444.3,1,3.03
2026-06-05 10:00:00,28.0,72.3,48.3,14770.9,423.7,1,2.48
2026-06-05 11:00:00,27.3,66.3,,17475.6,408.5,1,2.48
